track_id,source_track_ids,total_visible_time,stationary_segment_start,stationary_segment_end,stationary_segment_duration,is_longest_for_track
924,924,5.722,,,0.000,false
928,928,1.004,,,0.000,false
937,937,4.417,,,0.000,false
947,947,2.644,81.921,83.895,1.974,true
948,948 965,3.748,,,0.000,false
956,956,3.480,83.728,85.234,1.506,true
961,961,0.000,,,0.000,false
963,963,0.067,,,0.000,false
967,967,0.301,,,0.000,false
978,978 994,1.004,,,0.000,false
981,981,0.636,,,0.000,false
983,983,0.402,,,0.000,false
985,985,0.234,,,0.000,false
992,992,0.402,,,0.000,false
